sample_idx,pearson_correlation,mse
309,0.995361206241967,0.0019187903
310,0.9957938246363974,0.0019757794
311,0.9947339448421673,0.001388597
312,0.9965697530706498,0.0012533881
313,0.9911564521721365,0.010309001
314,0.9957826753018554,0.0017799096
315,0.9962807052741897,0.00096972886
316,0.9961188004867244,0.0017588689
317,0.9876171605735635,0.005159981
318,0.9966657046243735,0.00088819064
319,0.9958717256789761,0.0016533344
320,0.9960741382945615,0.0013920012
321,0.9954437454519357,0.003817804
322,0.9944729926688809,0.0015227094
323,0.996281814999483,0.0012232282
324,0.9927165590942436,0.0022027665
325,0.9941748170254121,0.0020692658
326,0.9947941686164156,0.0019450504
