,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2808.708709,529.8772771,1557.057674,59.94348716,7457.574659,92.03531537,2486.559509,1956.262806,6527.084491,811.0054451,508.2829395,6661.7025,6372.909212,8889.646829,3676.490057,4502.371453,1069.403456,7568.556057,1904.211775,6444.876213,10637.48276,6366.822553,11076.10698,652.6043332,4554.767149,855.8476803
2811.711712,537.2063502,1692.681618,64.15364948,8199.133262,104.7089962,2857.185273,2069.219884,7163.946583,838.8037081,576.4821864,7405.600343,6833.612526,9324.91961,3868.39558,5059.483995,1299.233701,8524.525432,2034.767041,7422.543044,11205.79867,6619.744005,11903.7472,709.6974689,4822.458683,1001.415808
2814.714715,652.0456007,1805.970476,74.29680367,9002.277903,117.281877,3132.57942,2290.300235,7911.028969,884.1991454,680.4979135,7932.304032,7376.056184,9882.983829,4080.206838,5481.294559,1393.331333,9522.191525,2283.983085,7998.307926,12009.22121,6980.981683,13234.36733,862.2291755,5486.245094,1172.343526
2817.717718,701.4323648,1914.730706,89.44232452,10273.09892,136.8346615,3930.859733,2551.982545,8998.713616,953.8257595,861.2843966,9074.656597,8135.78132,10684.1705,4580.751381,5995.501329,1493.514762,10941.90475,2659.292646,9490.632789,13210.49042,7534.819381,15237.70595,982.7950659,6206.726063,1432.081945
2820.720721,814.6460922,1894.932773,129.3567252,11721.91577,163.4438517,5047.29568,2838.664425,10442.43719,1080.45301,1087.218144,10316.46067,8781.435537,11545.91086,4995.087654,6379.611579,1585.259341,12682.7386,3035.824111,10895.44803,15026.30513,8541.271859,18511.32913,1130.904172,7112.068194,1680.877238
2823.723724,922.6901665,2099.967641,202.5186138,13689.5911,209.331143,6952.591306,3237.039561,12247.32941,1262.122802,1387.31173,12062.76957,9907.235702,12928.48615,5743.172527,6851.204076,1846.156203,15461.378,3742.911769,13464.20502,17658.76341,10052.17108,24122.89927,1494.79991,8354.211888,2055.95648
2826.726727,1143.451368,2347.900527,291.4686284,16412.31436,285.5878886,8695.192135,3821.888078,15309.29541,1500.908619,1895.837839,14423.90966,10741.93199,15422.11594,6978.687655,7560.36993,1980.891479,19957.6834,4839.768771,17075.97804,21188.81991,12095.73902,32774.80036,1791.744892,10031.20199,2616.141497
2829.72973,1520.66934,2583.919731,330.349785,19873.35083,372.7662702,9709.677487,4581.353154,18758.67348,1768.322736,2445.167489,17102.55079,11878.48132,19057.54942,8985.303513,8127.037244,2260.180202,27687.66095,6703.443419,22372.17944,25484.76529,14832.36201,44132.62698,2396.474917,12479.94526,3477.737673
2832.732733,1819.052298,2907.042123,280.1255376,24220.12509,484.1698302,10928.90078,5610.065006,23035.86127,2080.605104,3214.167208,20689.40647,13691.18799,25971.59282,12322.14888,8973.73796,2512.251291,38922.91999,9276.4842,30893.53486,30693.67499,18319.35383,59153.94906,3635.863128,16319.43222,4952.374881
2835.735736,2347.632483,3366.092637,247.9842712,29700.98412,628.1810944,13443.69102,7065.483635,28638.36505,2607.125752,4125.889113,25721.3567,16155.72662,39466.54243,19014.79248,9695.658829,2863.231818,56099.60606,13530.59066,42721.75179,37894.79368,23035.04605,79160.08429,5209.085679,22379.64016,7576.086256
2838.738739,3117.678883,4005.662728,255.3801542,37093.96461,857.3393527,17308.71322,9684.795705,39341.92145,3622.520068,5591.809272,34008.84827,20170.32757,66648.22636,30567.80626,10851.63404,3069.687182,82265.99851,19484.09274,61090.42421,50667.46603,31253.63543,102906.0355,7986.649654,33616.56931,12275.91813
2841.741742,4571.825351,5149.401156,323.6611921,48584.39394,1174.692437,22678.75673,14576.60748,58961.82108,5170.235287,8498.511801,49665.98419,27436.86298,106684.7514,45351.74117,11611.61162,3481.561824,116759.0455,27033.43372,87139.723,70107.321,43971.40401,123580.0781,11999.47746,53191.62314,19479.03837
2844.744745,7003.213419,6790.754682,408.3057859,67564.85146,1436.201507,28814.6257,22384.00653,82544.77424,6693.46665,11762.64486,73584.82148,39278.18133,139110.4341,56875.20481,12658.14648,4389.969778,148372.8966,33629.33729,108594.4915,92583.21918,59355.61824,130679.9895,15395.68616,76970.21315,25657.4603
2847.747748,10061.69324,8334.122759,498.2326654,92209.89005,1454.678802,31653.92771,29960.54116,94108.15142,7364.247768,13180.22878,94023.72452,55513.82006,141355.726,59080.00042,13407.9975,5461.64236,153610.0572,35303.89653,111229.7247,107227.7092,70176.23242,127880.5136,15532.05937,82494.95368,26208.34729
2850.750751,11520.73373,9387.702045,634.9779295,110428.4234,1355.510234,31408.54122,32116.86311,91121.66571,7152.680261,12273.81166,97791.84754,70112.58697,126328.4164,54549.92039,14071.36962,6505.424,137686.4215,31873.77311,102118.87,107639.44,71621.2837,123266.1134,13641.48671,71762.78722,23819.87019
2853.753754,10992.83117,9504.902456,649.764452,114410.9298,1273.077656,30427.90398,30240.10924,83281.51162,6585.262521,11055.96711,89749.58469,77364.15605,111850.8263,48674.87316,14796.06753,7160.510251,122765.7996,28475.70351,92772.80104,101196.5736,67561.79131,121751.4041,12284.22387,63448.20924,21578.80984
2856.756757,10108.12001,9301.541473,633.0823494,110709.0167,1250.108045,29355.71607,27350.5987,76359.44198,6112.12548,10172.50229,81373.74907,79576.49846,102839.6306,44382.60661,15472.36516,7304.363673,114172.1723,26610.85319,86696.57417,93376.45342,61939.56029,122071.1744,11321.05826,60452.77024,20470.9629
2859.75976,9397.693908,9433.325213,722.5121347,105406.5174,1259.208133,30132.93129,25441.91178,73475.93403,5865.40763,9951.50928,76810.38288,79990.84663,95738.55362,40702.4622,16093.93066,6942.084729,107720.713,24974.34413,82277.76405,87002.9864,57497.06863,120909.0226,10682.81353,58359.02046,19847.48727
2862.762763,8685.302596,9619.372935,996.101531,99819.98816,1268.984484,32415.67582,23662.90481,70240.60748,5732.06935,9757.07123,72822.56318,79249.94042,88333.83111,37301.03866,16715.17694,6632.093701,102132.4454,23986.43586,78102.61354,83677.29384,55050.79898,120672.1951,10122.57074,55709.65867,19106.33538
2865.765766,8175.904589,9724.65798,1164.668774,95574.11716,1262.574869,34541.51958,22422.4937,68987.09731,5705.355928,9577.331406,69354.59347,79558.93013,85843.66352,35971.28242,17646.81975,6416.763305,99349.70484,23084.15686,75659.68768,83799.2483,54763.44135,124579.2882,9852.839485,54100.50947,18488.64686
2868.768769,8064.480009,10110.12519,1074.446655,95788.28994,1308.887394,34305.16864,22486.58469,71413.00418,5929.24134,9981.379851,70012.14648,83795.13669,90403.56698,37370.38319,18812.47525,6311.246489,101440.3121,23818.5198,77415.29153,86528.16693,56338.0431,135306.0602,10460.25432,55772.64369,18714.84326
2871.771772,8471.897094,10951.01131,907.407717,99615.86596,1447.511708,32200.93862,23720.83165,78253.56668,6434.692839,11000.20496,74775.61437,94385.18715,103167.4258,42378.11389,20539.93342,6515.324499,111115.0028,26086.3696,83376.32624,89734.54367,58513.95172,154493.3695,11381.94366,59014.28418,20100.95127
2874.774775,8725.459013,11677.14387,769.4910568,101958.4503,1672.978242,29701.14919,24459.81491,84833.46551,7063.100873,11951.28491,79076.60897,102113.4775,120367.1064,48214.95719,22426.00816,7012.972053,132475.6171,31260.92903,93842.92818,92607.39239,60721.30155,178016.9377,12738.71374,64199.43414,21339.06568
2877.777778,8724.666213,12299.48578,735.4663432,100535.5604,2019.177721,28273.47206,25520.08705,92256.29022,7673.165854,12956.87741,82198.14623,98379.76474,156567.5584,62029.881,23102.87842,7066.26747,182982.0926,43670.48836,116272.8757,96848.7959,63874.07774,193740.9359,16197.99931,77264.06937,24237.24454
2880.780781,8898.864346,12923.43967,820.479755,101434.2705,2203.028924,28892.87909,26942.69833,99368.29014,8038.509242,14424.35735,85542.08245,90192.18639,241573.7339,101776.2581,22866.83837,7055.127805,221420.4121,53012.13506,136364.3307,101869.7895,67748.78291,195366.9831,23032.03972,107628.3239,28149.38153
2883.783784,9385.568419,13404.81577,951.8723279,104866.3325,1946.06288,30128.12457,28717.68901,97840.09294,7982.839588,15366.23307,88498.95367,84606.32143,244041.0255,106969.616,22327.02371,7033.543494,185745.0391,43254.13618,119418.4722,106013.3723,71378.15171,182054.6543,25094.96749,119308.2986,27158.92192
2886.786787,9664.611985,13867.89611,1082.194234,109432.1082,1578.686185,30864.81529,29451.54808,90168.66248,7623.85991,14584.8173,88880.21016,83233.74722,157907.5418,66929.93592,22500.72912,7222.054506,134626.5049,29496.11103,96718.37207,108346.6011,73684.16845,158184.226,17849.73045,113813.551,22754.23694
2889.78979,10032.14509,14529.75384,1156.774962,113756.0646,1294.000612,31287.92518,29784.90872,84438.40184,7208.042939,13306.75862,88133.25533,83792.19299,106209.7658,47646.00647,22979.99465,7577.349158,110033.5347,23363.62078,85119.67222,109061.1444,74560.09472,133822.9151,13051.01975,88088.40075,19799.91358
